// Format: Code;Name
akan;Akan
guan;Guan
kru;Kru
bedouin;Bedouin
egyptian;Egyptian
maghrebi;Maghrebi
levantine;Mashriqi
yemeni;Yemeni
latgalian;Latgalian
lithuanian;Lithuanian
prussian;Prussian
estonian;Estonian
finnish;Finnish
karelian;Karelian
sami;Sami
vepsian;Vepsian
east bantu;East Bantu
baranis;Baranis
butr;Butr
guanche;Guanche
zaghawa;Zaghawa
breton;Breton
cornish;Cornish
cumbrian;Cumbrian
pictish;Pictish
welsh;Welsh
burmese;Burmese
mon;Mon
alan;Alan
armenian;Armenian
georgian;Georgian
greek;Greek
assyrian;Syriac
hausa;Hausa
kanuri;Kanuri
nupe;Nupe
sao;Sao
bavarian;Bavarian
dutch;Dutch
franconian;Franconian
frisian;Frisian
german;German
langobard;Langobard
saxon;Saxon
swabian;Swabian
han;Han
gond;Gond
kannada;Kannada
tamil;Tamil
telugu;Telugu
daju;Daju
ethiopian;Ethiopian
nubian;Nubian
welayta;Welayta
ilmenian;Ilmenian
russian;Russian
severian;Severian
volhynian;Volhynian
frankish;Frankish
french;French
norman;Norman
occitan;Occitan
gaelic;Gaelic
irish;Irish
bobo;Bobo
gur;Gur
malinke;Malinke
marka;Marka
mel;Mel
afar;Afar
beja;Beja
somali;Somali
andalusian;Andalusian
aragonese;Aragonese
asturleonese;Asturleonese
basque;Basque
castilian;Castilian
catalan;Catalan
galician;Galician
portuguese;Portuguese
suebi;Suebi
visigothic;Visigothic
bengali;Bengali
brahui;Brahui
gujarati;Gujarati
assamese;Kamrupi
hindustani;Kannauji
kashmiri;Kashmiri
malvi;Malvi
marathi;Marathi
nepali;Nepali
oriya;Oriya
punjabi;Punjabi
rajput;Rajasthani
sindhi;Sindhi
sinhala;Sinhala
afghan;Afghan
baloch;Baloch
daylamite;Daylamite
khwarezmian;Khwarezmian
kurdish;Kurdish
persian;Persian
saka;Saka
sogdian;Sogdian
tajik;Tajik
ashkenazi;Ashkenazi
bavlim;Bavlim
hebrew;Hebrew
kochinim;Kochinim
radhanite;Radhanite
sephardi;Sephardi
cisalpine;Cisalpine
italian;Italian
lombard;Lombard
sardinian;Sardinian
sicilian;Sicilian
hungarian;Hungarian
mogyer;Mogyër
buryat;Buryat
jurchen;Jurchen
kerait;Kerait
khitan;Khitan
mongol;Mongol
naiman;Naiman
oirat;Oirat
ongud;Öngüd
tuyuhun;Tuyuhun
edo;Edo
ewe;Ewe
igbo;Igbo
yoruba;Yoruba
danish;Danish
norse;Norse
norwegian;Norwegian
swedish;Swedish
qiang;Qiang
tangut;Tangut
bozo;Bozo
gaw;Gaw
mossi;Mossi
songhai;Songhai
soninke;Soninke
sorko;Sorko
pulaar;Pulaar
serer;Serer
wolof;Wolof
bosnian;Bosnian
bulgarian;Bulgarian
croatian;Croatian
serbian;Serbian
bodpa;Bodpa
kirati;Kirati
lhomon;Lhomon
sumpa;Sumpa
tsangpa;Tsangpa
zhangzhung;Zhangzhung
tocharian;Tocharian
avar;Avar
bashkir;Bashkir
bolghar;Bolghar
chuvash;Chuvash
cuman;Cuman
karluk;Karluk
khazar;Khazar
kimek;Kimek
kipchak;Kipchak
kirghiz;Kirghiz
laktan;Laktan
turkish;Oghuz
pecheneg;Pecheneg
shatuo;Shatuo
uriankhai;Uriankhai
uyghur;Uyghur
yughur;Yughur
samoyed;Bjarmian
khanty;Ostyak
komi;Permian
vlach;Vlach
mari;Mari
merya;Merya
meshchera;Meshchera
mordvin;Mordvin
muroma;Muroma
anglo-saxon;Anglo-Saxon
english;English
old saxon;Old Saxon
scottish;Scots
carantanian;Carantanian
czech;Czech
polabian;Polabian
polish;Polish
pommeranian;Pomeranian
slovien;Slovien
ancient egyptian;Ancient Egyptian
gothic;Gothic
hunnic;Hunnic
macedonian;Macedonian
roman;Roman
trojan;Trojan
