// Format: Code;Name
lustful;Lustful
chaste;Chaste
gluttonous;Gluttonous
temperate;Temperate
greedy;Greedy
generous;Generous
lazy;Lazy
diligent;Diligent
wrathful;Wrathful
calm;Calm
patient;Patient
impatient;Impatient
arrogant;Arrogant
humble;Humble
deceitful;Deceitful
honest;Honest
craven;Craven
brave;Brave
shy;Shy
gregarious;Gregarious
ambitious;Ambitious
content;Content
arbitrary;Arbitrary
just;Just
cynical;Cynical
zealous;Zealous
paranoid;Paranoid
trusting;Trusting
compassionate;Compassionate
callous;Callous
sadistic;Sadistic
stubborn;Stubborn
fickle;Fickle
vengeful;Vengeful
forgiving;Forgiving
eccentric;Eccentric
